URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
jetlisans.com/urun-kategori/windows-11-lisans/,No,No,Tagged
jetlisans.com/urun-kategori/antivirus-yazilim-lisanslari/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/607280/,No,No,Tagged
jetlisans.com/checkout/order-received/607281/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607281/,No,No,Tagged
jetlisans.com/urun/windows-11-pro-lisans-key/comment-page-7/,No,Yes,Tagged
jetlisans.com/checkout/odeme-yap/607280/,No,No,Tagged
jetlisans.com/iletisim/,No,No,Tagged
jetlisans.com/checkout/order-received/607278/,No,No,Tagged
jetlisans.com/urun/office-365-lisans-hesabi-satin-al/comment-page-2/,No,Yes,Tagged
jetlisans.com/checkout/odeme-yap/607278/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607277/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/598257/,No,No,Tagged
jetlisans.com/checkout/order-received/607276/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607276/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/118929/,No,No,Tagged
jetlisans.com/my-account/siparislerim/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/250058/,No,No,Tagged
jetlisans.com/my-account/lost-password/,No,No,Tagged
jetlisans.com/urun-kategori/windows-10-lisans/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607275/,No,No,Tagged
jetlisans.com/urun/windows-11-pro-lisans-key/comment-page-3/,No,Yes,Tagged
jetlisans.com/onay/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/39645/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/38875/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/8726/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607274/,No,No,Tagged
jetlisans.com/checkout/order-received/607273/,No,No,Tagged
jetlisans.com/urun/windows-10-pro-oem-lisans-key-satin-al/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607273/,No,No,Tagged
jetlisans.com/cart/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/153654/,No,No,Tagged
jetlisans.com/checkout/order-received/607202/,No,No,Tagged
jetlisans.com/checkout/order-received/607263/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/583146/,No,No,Tagged
jetlisans.com/my-account/,No,No,Tagged
jetlisans.com/checkout/order-received/607271/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607271/,No,No,Tagged
jetlisans.com/urun-kategori/isletim-sistemi-lisanslari/,No,No,Tagged
jetlisans.com/hakkimizda/,No,No,Tagged
jetlisans.com/checkout/order-received/607270/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/607269/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607270/,No,No,Tagged
jetlisans.com/checkout/order-received/607269/,No,No,Tagged
jetlisans.com/urun/office-2019-home-and-business-mac-lisans-key/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607269/,No,No,Tagged
jetlisans.com/checkout/order-received/607268/,No,No,Tagged
jetlisans.com/checkout/order-received/607267/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607268/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607267/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607263/,No,No,Tagged
jetlisans.com/checkout/order-received/607262/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607262/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/607261/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607261/,No,No,Tagged
jetlisans.com/urun/windows-11-home-lisans-key/,No,No,Tagged
jetlisans.com/checkout/order-received/607260/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607260/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/607259/,No,No,Tagged
jetlisans.com/checkout/order-received/607259/,No,No,Tagged
jetlisans.com/checkout/order-received/607258/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607259/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607258/,No,No,Tagged
jetlisans.com/checkout/order-received/607255/,No,No,Tagged
jetlisans.com/urun/windows-10-pro-dijital-lisans-anahtari/comment-page-4/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/142054/,No,No,Tagged
jetlisans.com/urun/office-2019-pro-plus-dijital-lisans-anahtari-key-3264-bit-hemen-teslim/,No,Yes,Tagged
jetlisans.com/my-account/siparisi-goruntule/600678/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607256/,No,No,Tagged
jetlisans.com/urun/windows-10-pro-dijital-lisans-anahtari/,No,Yes,Tagged
jetlisans.com/urun/windows-10-home-retail-dijital-lisans-anahtari/,No,Yes,Tagged
jetlisans.com/office-2021-pro-plus-nasil-kurulur-ve-etkinlestirilir-adim-adim-rehber/,No,Yes,Tagged
jetlisans.com/checkout/order-received/607254/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607255/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607254/,No,No,Tagged
jetlisans.com/checkout/order-received/607253/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607253/,No,No,Tagged
jetlisans.com/urun/windows-11-pro-oem-lisans-key/comment-page-1/,No,No,Tagged
jetlisans.com/checkout/order-received/607251/,No,No,Tagged
jetlisans.com/urun/windows-11-pro-lisans-key/comment-page-11/,No,Yes,Tagged
jetlisans.com/urun/windows-11-pro-lisans-key/comment-page-9/,No,Yes,Tagged
jetlisans.com/my-account/siparisi-goruntule/607250/,No,No,Tagged
jetlisans.com/checkout/order-received/607250/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607251/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/200184/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/208428/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/563433/,No,No,Tagged
jetlisans.com/office-2019-nasil-kurulur-ve-etkinlestirilir-adim-adim-rehber/,No,Yes,Tagged
jetlisans.com/checkout/odeme-yap/607248/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607247/,No,No,Tagged
jetlisans.com/checkout/order-received/607246/,No,No,Tagged
jetlisans.com/urun/windows-10-pro-dijital-lisans-anahtari/comment-page-1/,No,Yes,Tagged
jetlisans.com/checkout/odeme-yap/607246/,No,No,Tagged
jetlisans.com/checkout/order-received/607244/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607244/,No,No,Tagged
jetlisans.com/checkout/order-received/607243/,No,No,Tagged
jetlisans.com/checkout/order-received/607242/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607243/,No,No,Tagged
jetlisans.com/checkout/order-received/607241/,No,No,Tagged
jetlisans.com/urun/windows-11-pro-lisans-key/comment-page-10/,No,Yes,Tagged
jetlisans.com/checkout/odeme-yap/607242/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607241/,No,No,Tagged
jetlisans.com/category/microsoft-office/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607240/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607239/,No,No,Tagged
jetlisans.com/checkout/order-received/607236/,No,No,Tagged
jetlisans.com/checkout/order-received/607235/,No,No,Tagged
jetlisans.com/checkout/order-received/607238/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607238/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607237/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607236/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607235/,No,No,Tagged
jetlisans.com/checkout/order-received/607234/,No,No,Tagged
jetlisans.com/urun/windows-11-home-lisans-key/comment-page-3/,No,Yes,Tagged
jetlisans.com/checkout/odeme-yap/607234/,No,No,Tagged
jetlisans.com/checkout/order-received/607233/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607233/,No,No,Tagged
jetlisans.com/checkout/order-received/607232/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/607230/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/504152/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607232/,No,No,Tagged
jetlisans.com/indirme%20merkezi,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607230/,No,No,Tagged
jetlisans.com/checkout/order-received/607206/,No,No,Tagged
jetlisans.com/checkout/order-received/607228/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607229/,No,No,Tagged
jetlisans.com/shop/,No,No,Tagged
jetlisans.com/checkout/order-received/607227/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607228/,No,No,Tagged
jetlisans.com/urun/office-365-lisans-hesabi-satin-al/comment-page-1/,No,Yes,Tagged
jetlisans.com/checkout/odeme-yap/607227/,No,No,Tagged
jetlisans.com/checkout/order-received/607226/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607226/,No,No,Tagged
jetlisans.com/checkout/order-received/607224/,No,No,Tagged
jetlisans.com/checkout/odeme-yap/607224/,No,No,Tagged
